musicians attendees
1: 1059 1000
2: 635 1000
3: 190 1000
4: 360 1000
5: 3535 1000
6: 205 1000
7: 4391 1000
8: 124 5000
9: 56 1000
10: 94 1000
11: 149 1000
12: 32 5000
13: 52 1000
14: 34 1000
15: 56 1000
16: 13 1000
17: 56 5000
18: 2591 5000
19: 326 5000
20: 1013 500
21: 129 1000
22: 16 400
23: 9 1000
24: 5 5000
25: 26 5000
26: 12 5000
27: 14 500
28: 13 1000
29: 68 1000
30: 70 1000
31: 792 1000
32: 1365 1000
33: 1484 500
34: 895 500
35: 567 500
36: 95 500
37: 201 500
38: 243 1000
39: 46 1000
40: 10 1000
41: 10 400
42: 5 100
43: 5 100
44: 10 400
45: 10 400
